id,product_name,product_code,category,description,current_quantity,unit,minimum_stock,average_daily_usage,alert_days,critical_days,emergency_reserve,expiry_date,storage_location,primary_supplier_id,status,created_at,updated_at
13,Prednisone 10mg,MED-PRE-10,Medicines,Prednisone 10mg - standard quality medical stock item,126.0,units,72,12.0,7,3,24,2027-05-17,Shelf A-13,2,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
14,Clopidogrel 75mg,MED-CLO-75,Medicines,Clopidogrel 75mg - standard quality medical stock item,461.0,units,150,25.0,7,3,50,2027-01-19,Shelf A-14,10,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
15,Montelukast 10mg,MED-MON-10,Medicines,Montelukast 10mg - standard quality medical stock item,297.0,units,100,20.0,7,3,60,2027-01-29,Shelf A-15,15,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
16,Albuterol Inhaler,MED-ALB-INH,Medicines,Albuterol Inhaler - standard quality medical stock item,87.0,units,72,8.0,7,3,16,2028-01-01,Shelf A-16,4,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
17,Levothyroxine 50mcg,MED-LEV-50,Medicines,Levothyroxine 50mcg - standard quality medical stock item,889.0,units,400,50.0,7,3,150,2027-05-18,Shelf A-17,13,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
18,Tramadol 50mg,MED-TRA-50,Medicines,Tramadol 50mg - standard quality medical stock item,192.0,units,112,14.0,7,3,42,2027-05-01,Shelf A-18,7,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
19,Metoprolol 25mg,MED-MTP-25,Medicines,Metoprolol 25mg - standard quality medical stock item,392.0,units,224,28.0,7,3,112,2027-12-28,Shelf A-19,1,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
20,Warfarin 5mg,MED-WAR-5,Medicines,Warfarin 5mg - standard quality medical stock item,134.0,units,90,10.0,7,3,30,2027-10-09,Shelf A-20,4,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
21,Syringes (5ml),SUP-SYR-5ML,Medical Supplies,Syringes (5ml) - standard quality medical stock item,1325.0,pieces,600,120.0,7,3,360,2027-07-25,Shelf B-1,14,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
22,Syringes (2ml),SUP-SYR-2ML,Medical Supplies,Syringes (2ml) - standard quality medical stock item,2646.0,pieces,1350,150.0,7,3,300,2027-08-22,Shelf B-2,11,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
23,Syringes (10ml),SUP-SYR-10ML,Medical Supplies,Syringes (10ml) - standard quality medical stock item,963.0,pieces,640,80.0,7,3,240,2027-02-01,Shelf B-3,7,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
24,IV Cannula 20G,SUP-IVC-20G,Medical Supplies,IV Cannula 20G - standard quality medical stock item,730.0,pieces,250,50.0,7,3,150,2027-09-01,Shelf B-4,7,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
25,IV Cannula 22G,SUP-IVC-22G,Medical Supplies,IV Cannula 22G - standard quality medical stock item,1028.0,pieces,600,60.0,7,3,240,2027-11-06,Shelf B-5,7,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
26,IV Cannula 18G,SUP-IVC-18G,Medical Supplies,IV Cannula 18G - standard quality medical stock item,497.0,pieces,180,30.0,7,3,90,2027-06-12,Shelf B-6,3,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
27,Alcohol Prep Pads,SUP-ALC-PAD,Medical Supplies,Alcohol Prep Pads - standard quality medical stock item,107.0,boxes,84,12.0,7,3,24,2027-05-09,Shelf B-7,12,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
28,Cotton Wool Rolls,SUP-CTN-ROL,Medical Supplies,Cotton Wool Rolls - standard quality medical stock item,203.5,pieces,135,15.0,7,3,30,2027-10-02,Shelf B-8,1,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
29,Adhesive Plasters,SUP-ADH-PLST,Medical Supplies,Adhesive Plasters - standard quality medical stock item,46.0,boxes,40,8.0,7,3,32,2027-01-13,Shelf B-9,7,LOW_STOCK,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
30,Bandage Roll 4-inch,SUP-BND-4IN,Medical Supplies,Bandage Roll 4-inch - standard quality medical stock item,311.0,pieces,400,40.0,7,3,160,2027-11-02,Shelf B-10,7,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
31,Bandage Roll 3-inch,SUP-BND-3IN,Medical Supplies,Bandage Roll 3-inch - standard quality medical stock item,632.0,pieces,450,45.0,7,3,135,2027-03-03,Shelf B-11,11,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
32,Gauze Swabs 10x10cm,SUP-GZE-SWB,Medical Supplies,Gauze Swabs 10x10cm - standard quality medical stock item,248.0,boxes,126,18.0,7,3,36,2027-12-12,Shelf B-12,8,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
33,IV Infusion Set,SUP-IVF-SET,Medical Supplies,IV Infusion Set - standard quality medical stock item,833.0,pieces,630,70.0,7,3,140,2027-10-14,Shelf B-13,2,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
34,Urine Drainage Bag,SUP-URN-BAG,Medical Supplies,Urine Drainage Bag - standard quality medical stock item,361.0,pieces,150,25.0,7,3,75,2027-03-11,Shelf B-14,15,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
35,Foley Catheter Fr16,SUP-FOL-CAT,Medical Supplies,Foley Catheter Fr16 - standard quality medical stock item,188.0,pieces,150,15.0,7,3,60,2027-08-23,Shelf B-15,10,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
36,Disposable Scalpel #11,SUP-DSC-11,Medical Supplies,Disposable Scalpel #11 - standard quality medical stock item,255.0,pieces,120,20.0,7,3,60,2027-04-13,Shelf B-16,15,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
37,Disposable Scalpel #15,SUP-DSC-15,Medical Supplies,Disposable Scalpel #15 - standard quality medical stock item,236.0,pieces,126,18.0,7,3,72,2027-04-05,Shelf B-17,5,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
38,Sterile Water 10ml,SUP-WTR-10ML,Medical Supplies,Sterile Water 10ml - standard quality medical stock item,1453.0,units,800,100.0,7,3,300,2027-03-03,Shelf B-18,9,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
39,Normal Saline 500ml,SUP-SAL-500,Medical Supplies,Normal Saline 500ml - standard quality medical stock item,290.0,bottles,420,60.0,7,3,120,2027-10-24,Shelf B-19,14,LOW_STOCK,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
40,Ringer Lactate 500ml,SUP-RIN-500,Medical Supplies,Ringer Lactate 500ml - standard quality medical stock item,373.0,bottles,400,40.0,7,3,120,2027-03-26,Shelf B-20,3,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
41,Latex Gloves (M),PPE-GLV-LAT-M,PPE,Latex Gloves (M) - standard quality medical stock item,479.0,boxes,250,25.0,7,3,50,2027-05-21,Shelf C-1,2,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
42,Latex Gloves (L),PPE-GLV-LAT-L,PPE,Latex Gloves (L) - standard quality medical stock item,215.0,boxes,120,20.0,7,3,40,2027-02-02,Shelf C-2,7,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
43,Latex Gloves (S),PPE-GLV-LAT-S,PPE,Latex Gloves (S) - standard quality medical stock item,182.5,boxes,105,15.0,7,3,30,2027-12-20,Shelf C-3,15,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
44,Nitrile Gloves (M),PPE-GLV-NIT-M,PPE,Nitrile Gloves (M) - standard quality medical stock item,462.0,boxes,300,30.0,7,3,60,2027-06-10,Shelf C-4,10,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
45,Nitrile Gloves (L),PPE-GLV-NIT-L,PPE,Nitrile Gloves (L) - standard quality medical stock item,356.0,boxes,224,28.0,7,3,56,2027-08-23,Shelf C-5,15,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
46,Nitrile Gloves (S),PPE-GLV-NIT-S,PPE,Nitrile Gloves (S) - standard quality medical stock item,270.0,boxes,180,18.0,7,3,72,2027-09-30,Shelf C-6,13,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
47,N95 Respirator Mask,PPE-MSK-N95,PPE,N95 Respirator Mask - standard quality medical stock item,806.0,pieces,450,90.0,7,3,270,2027-08-31,Shelf C-7,7,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
48,3-Ply Surgical Mask,PPE-MSK-3PLY,PPE,3-Ply Surgical Mask - standard quality medical stock item,23.0,boxes,90,15.0,7,3,30,2027-10-04,Shelf C-8,5,CRITICAL,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
49,Surgical Gown Sterile,PPE-GWN-STR,PPE,Surgical Gown Sterile - standard quality medical stock item,79.0,pieces,110,22.0,7,3,66,2027-04-22,Shelf C-9,14,LOW_STOCK,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
50,Disposable Gown Blue,PPE-GWN-DSP,PPE,Disposable Gown Blue - standard quality medical stock item,633.5,pieces,175,35.0,7,3,105,2027-07-26,Shelf C-10,1,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
51,Protective Goggles,PPE-GOG-PRT,PPE,Protective Goggles - standard quality medical stock item,51.0,pieces,50,5.0,7,3,15,2027-09-07,Shelf C-11,6,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
52,Face Shield Clear,PPE-FSH-CLR,PPE,Face Shield Clear - standard quality medical stock item,61.0,pieces,40,8.0,7,3,32,2027-06-18,Shelf C-12,5,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
53,Shoe Covers Disposable,PPE-SHC-DSP,PPE,Shoe Covers Disposable - standard quality medical stock item,74.0,boxes,48,6.0,7,3,12,2027-05-02,Shelf C-13,6,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
54,Bouffant Caps Blue,PPE-CAP-BLU,PPE,Bouffant Caps Blue - standard quality medical stock item,29.5,boxes,35,5.0,7,3,20,2027-08-01,Shelf C-14,12,LOW_STOCK,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
55,Hand Sanitizer 500ml,PPE-SAN-500,PPE,Hand Sanitizer 500ml - standard quality medical stock item,53.0,bottles,84,14.0,7,3,28,2027-07-27,Shelf C-15,9,LOW_STOCK,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
56,Hand Sanitizer 100ml,PPE-SAN-100,PPE,Hand Sanitizer 100ml - standard quality medical stock item,204.0,bottles,180,20.0,7,3,60,2027-06-25,Shelf C-16,10,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
57,Disinfectant Wipes,PPE-WIP-DIS,PPE,Disinfectant Wipes - standard quality medical stock item,12.0,tubs,80,10.0,7,3,40,2027-12-06,Shelf C-17,4,CRITICAL,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
58,Biohazard Bags Large,PPE-BIO-LRG,PPE,Biohazard Bags Large - standard quality medical stock item,654.0,pieces,240,40.0,7,3,160,2027-09-16,Shelf C-18,11,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
59,Biohazard Bags Medium,PPE-BIO-MED,PPE,Biohazard Bags Medium - standard quality medical stock item,593.0,pieces,450,50.0,7,3,200,2027-04-11,Shelf C-19,5,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
60,Aprons Waterproof,PPE-APR-WPR,PPE,Aprons Waterproof - standard quality medical stock item,70.0,boxes,28,4.0,7,3,8,2027-04-21,Shelf C-20,11,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
61,Vicryl Suture 3-0,SRG-VIC-30,Surgical,Vicryl Suture 3-0 - standard quality medical stock item,45.0,boxes,54,6.0,7,3,12,2027-03-09,Shelf D-1,8,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
62,Vicryl Suture 2-0,SRG-VIC-20,Surgical,Vicryl Suture 2-0 - standard quality medical stock item,78.0,boxes,40,5.0,7,3,10,2027-03-15,Shelf D-2,8,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
63,Vicryl Suture 4-0,SRG-VIC-40,Surgical,Vicryl Suture 4-0 - standard quality medical stock item,27.0,boxes,32,4.0,7,3,8,2027-11-23,Shelf D-3,13,LOW_STOCK,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
64,Silk Suture 3-0,SRG-SLK-30,Surgical,Silk Suture 3-0 - standard quality medical stock item,84.0,boxes,30,5.0,7,3,10,2027-02-06,Shelf D-4,9,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
65,Silk Suture 2-0,SRG-SLK-20,Surgical,Silk Suture 2-0 - standard quality medical stock item,57.0,boxes,32,4.0,7,3,16,2028-01-12,Shelf D-5,13,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
66,Monocryl Suture 4-0,SRG-MON-40,Surgical,Monocryl Suture 4-0 - standard quality medical stock item,38.0,boxes,18,3.0,7,3,12,2027-12-31,Shelf D-6,15,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
67,Surgical Stapler,SRG-STP-DSP,Surgical,Surgical Stapler - standard quality medical stock item,115.0,pieces,80,8.0,7,3,24,2027-05-18,Shelf D-7,14,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
68,Staple Remover,SRG-STP-REM,Surgical,Staple Remover - standard quality medical stock item,22.0,pieces,80,10.0,7,3,20,2027-10-16,Shelf D-8,5,CRITICAL,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
69,Epidural Needle 18G,SRG-NDL-EPI,Surgical,Epidural Needle 18G - standard quality medical stock item,126.0,pieces,108,12.0,7,3,24,2027-07-06,Shelf D-9,15,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
70,Suction Tubing 3m,SRG-SUC-TUB,Surgical,Suction Tubing 3m - standard quality medical stock item,226.0,pieces,90,15.0,7,3,30,2027-06-20,Shelf D-10,12,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
71,Lap Sponge 30x30cm,SRG-LAP-SPN,Surgical,Lap Sponge 30x30cm - standard quality medical stock item,404.0,packs,150,25.0,7,3,75,2027-05-12,Shelf D-11,1,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
72,Surgical Blades #10,SRG-BLD-10,Surgical,Surgical Blades #10 - standard quality medical stock item,41.5,boxes,27,3.0,7,3,9,2027-08-17,Shelf D-12,14,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
73,Surgical Blades #22,SRG-BLD-22,Surgical,Surgical Blades #22 - standard quality medical stock item,12.0,boxes,16,2.0,7,3,8,2027-05-06,Shelf D-13,14,LOW_STOCK,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
74,Bone Wax 2.5g,SRG-BNE-WAX,Surgical,Bone Wax 2.5g - standard quality medical stock item,15.0,boxes,12,2.0,7,3,6,2027-10-18,Shelf D-14,8,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
75,Foley Catheter Fr18,SRG-FOL-18,Surgical,Foley Catheter Fr18 - standard quality medical stock item,109.0,pieces,60,10.0,7,3,30,2027-12-12,Shelf D-15,12,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
76,Surgical Tape 2-inch,SRG-TAP-2IN,Surgical,Surgical Tape 2-inch - standard quality medical stock item,62.0,rolls,126,14.0,7,3,56,2027-08-10,Shelf D-16,10,LOW_STOCK,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
77,Skin Marker Pen,SRG-SKN-PEN,Surgical,Skin Marker Pen - standard quality medical stock item,161.5,pieces,75,15.0,7,3,45,2027-08-07,Shelf D-17,3,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
78,Suction Yankauer Tip,SRG-SUC-YNK,Surgical,Suction Yankauer Tip - standard quality medical stock item,29.0,pieces,96,12.0,7,3,36,2027-08-11,Shelf D-18,13,CRITICAL,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
79,C-Section Drape,SRG-DRP-CS,Surgical,C-Section Drape - standard quality medical stock item,58.0,pieces,30,6.0,7,3,24,2027-12-07,Shelf D-19,8,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
80,Universal Drape Pack,SRG-DRP-UNV,Surgical,Universal Drape Pack - standard quality medical stock item,145.0,packs,100,10.0,7,3,20,2027-07-06,Shelf D-20,13,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
81,EDTA Blood Tubes (K2),LAB-EDT-K2,Lab Reagents,EDTA Blood Tubes (K2) - standard quality medical stock item,812.0,pieces,1200,200.0,7,3,400,2027-06-17,Shelf E-1,10,LOW_STOCK,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
82,Serum Sep Tubes (SST),LAB-SRM-SST,Lab Reagents,Serum Sep Tubes (SST) - standard quality medical stock item,202.0,pieces,1800,180.0,7,3,540,2027-12-15,Shelf E-2,8,CRITICAL,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
83,Sodium Citrate Tubes,LAB-SCT-TUBE,Lab Reagents,Sodium Citrate Tubes - standard quality medical stock item,1495.0,pieces,600,100.0,7,3,300,2027-02-20,Shelf E-3,13,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
84,Glucose Test Strips,LAB-GLU-STP,Lab Reagents,Glucose Test Strips - standard quality medical stock item,189.0,boxes,120,12.0,7,3,24,2027-03-08,Shelf E-4,7,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
85,HIV Rapid Test Kits,LAB-HIV-KIT,Lab Reagents,HIV Rapid Test Kits - standard quality medical stock item,69.0,kits,50,5.0,7,3,15,2027-01-31,Shelf E-5,2,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
86,HCV Rapid Test Kits,LAB-HCV-KIT,Lab Reagents,HCV Rapid Test Kits - standard quality medical stock item,74.0,kits,36,4.0,7,3,12,2027-09-02,Shelf E-6,6,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
87,Syphilis Test Kits,LAB-SYP-KIT,Lab Reagents,Syphilis Test Kits - standard quality medical stock item,81.0,kits,32,4.0,7,3,12,2027-07-25,Shelf E-7,1,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
88,Urine Dipsticks 10T,LAB-URN-DIP,Lab Reagents,Urine Dipsticks 10T - standard quality medical stock item,132.0,boxes,48,8.0,7,3,24,2027-05-22,Shelf E-8,12,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
89,Pregnancy Test HCG,LAB-HCG-STR,Lab Reagents,Pregnancy Test HCG - standard quality medical stock item,408.0,pieces,270,30.0,7,3,90,2027-02-02,Shelf E-9,10,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
90,D-Dimer Test Kits,LAB-DDM-KIT,Lab Reagents,D-Dimer Test Kits - standard quality medical stock item,32.0,kits,18,3.0,7,3,6,2027-06-15,Shelf E-10,6,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
91,Troponin I Rapid Kit,LAB-TRP-KIT,Lab Reagents,Troponin I Rapid Kit - standard quality medical stock item,78.0,kits,54,6.0,7,3,24,2027-10-13,Shelf E-11,10,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
92,CRP Latex Slide Kit,LAB-CRP-KIT,Lab Reagents,CRP Latex Slide Kit - standard quality medical stock item,31.0,kits,16,2.0,7,3,4,2027-05-05,Shelf E-12,3,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
93,Rheumatoid Factor Kit,LAB-RF-KIT,Lab Reagents,Rheumatoid Factor Kit - standard quality medical stock item,31.0,kits,10,2.0,7,3,8,2027-05-22,Shelf E-13,9,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
94,Blood Culture Bottles,LAB-BLD-CUL,Lab Reagents,Blood Culture Bottles - standard quality medical stock item,190.0,pieces,198,22.0,7,3,44,2027-10-12,Shelf E-14,8,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
95,Malaria Antigen Kit,LAB-MAL-KIT,Lab Reagents,Malaria Antigen Kit - standard quality medical stock item,109.5,kits,75,15.0,7,3,30,2027-09-27,Shelf E-15,13,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
96,Pipette Tips 200uL,LAB-PIP-200,Lab Reagents,Pipette Tips 200uL - standard quality medical stock item,52.5,boxes,27,3.0,7,3,9,2027-03-29,Shelf E-16,11,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
97,Pipette Tips 1000uL,LAB-PIP-1KW,Lab Reagents,Pipette Tips 1000uL - standard quality medical stock item,15.0,boxes,20,2.0,7,3,6,2027-10-29,Shelf E-17,6,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
98,Microscope Slides,LAB-MIC-SLD,Lab Reagents,Microscope Slides - standard quality medical stock item,86.5,boxes,25,5.0,7,3,20,2027-12-19,Shelf E-18,6,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
99,Pregnancy Test Cassette,LAB-HCG-CAS,Lab Reagents,Pregnancy Test Cassette - standard quality medical stock item,273.0,pieces,250,25.0,7,3,75,2027-12-21,Shelf E-19,4,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
100,Blood Grouping Anti-A,LAB-BGP-ANA,Lab Reagents,Blood Grouping Anti-A - standard quality medical stock item,27.0,vials,12,2.0,7,3,6,2027-10-16,Shelf E-20,2,ACTIVE,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
